symbol,company,sector,ps_multiplier,rating,overall_score,valuation_score,book_to_bill_score,debt_score_weighted,roi_score,current_price,model_value,discount_pct,price_to_model,dividend_per_share,dividend_yield_pct,roi_pct,fcf_margin_pct,debt_score,debt_to_equity,debt_to_ebitda,ebitda,backlog,book_to_bill,revenue,shares_outstanding,currency,quote_type,notes,status
GE,GE Aerospace,industrial,4,GROWTH PREMIUM,68.00,20,100,100,100,330.58,174.02,-47.36,1.90,3.81,1.15,48.20,15.84,50,1.25,0.73,31110000000,211299000000,4.61,45855000000,1054000000,USD,equity_or_etf,GE aerospace business,ok
GEV,GE Vernova,energy,2,GROWTH PREMIUM,,20,100,,100,919.89,279.91,-69.57,3.29,1.01,0.11,35.08,9.75,95,0.00,,,163276000000,4.29,38068000000,272000000,USD,equity_or_etf,GE energy spin-off,ok
GEHC,GE HealthCare Technologies,healthcare,4,VALUE TRAP RISK,,100,20,,80,66.01,180.53,173.48,0.37,0.14,0.21,19.54,7.30,70,0.95,,,15828000000,0.77,20625000000,457000000,USD,equity_or_etf,GE healthcare spin-off,ok
GOOGL,Alphabet,technology,7,,,20,60,,100,364.05,230.42,-36.71,1.58,0.82,0.23,27.61,18.19,95,0.17,,,467600000000,1.16,402836000000,12238000000,USD,equity_or_etf,Google parent company; Class A shares,ok
HON,Honeywell International,industrial,4,,62.00,60,60,40,100,215.69,234.60,8.76,0.92,4.66,2.16,35.11,14.48,30,2.70,3.86,9515000000,38262000000,1.02,37442000000,638400000,USD,equity_or_etf,,ok
RTX,RTX Corporation,defense,2,GROWTH PREMIUM,50.00,20,100,40,60,181.46,129.86,-28.44,1.40,2.62,1.44,10.16,8.96,70,0.62,3.02,13678000000,271000000000,3.06,88603000000,1364600000,USD,equity_or_etf,,ok
ORCL,Oracle,software,8,GROWTH PREMIUM,,20,100,,100,207.78,157.58,-24.16,1.32,1.63,0.78,32.32,-0.69,95,0.19,,,552600000000,9.63,57399000000,2914000000,USD,equity_or_etf,,ok
LMT,Lockheed Martin,defense,2,BUY CANDIDATE,84.00,80,100,60,100,529.97,649.49,22.55,0.82,13.55,2.56,66.99,9.20,30,2.76,2.20,9418000000,186400000000,2.48,75048000000,231100000,USD,equity_or_etf,,ok
ENB,Enbridge,energy,2,VALUE TRAP RISK,47.00,60,40,20,60,55.55,59.59,7.28,0.93,3.76,6.76,11.53,5.06,50,1.63,6.37,16619000000,57200000000,0.88,65194000000,2188000000,USD,equity_or_etf,,ok
WM,Waste Management,industrial,4,VALUE TRAP RISK,64.00,60,20,100,100,221.24,249.30,12.68,0.89,3.30,1.49,27.02,11.17,95,0.06,0.09,7171000000,764000000,0.03,25204000000,404400000,USD,equity_or_etf,,ok
INTC,Intel,technology,7,OVERVALUED,,20,20,,20,108.06,72.79,-32.64,1.48,0.00,0.00,-0.24,-9.36,85,0.40,-22.36,-2014000000,498000000,0.01,52853000000,5083000000,USD,equity_or_etf,,ok
TXN,Texas Instruments,technology,7,,,20,,,100,288.53,135.42,-53.07,2.13,5.47,1.90,29.81,14.72,70,0.84,,,,,17682000000,914000000,USD,equity_or_etf,TI,ok
ABBV,AbbVie,healthcare,4,,,20,,,20,225.38,137.90,-38.81,1.63,6.57,2.92,-63.49,29.13,0,-9.69,,,,,61160000000,1774000000,USD,equity_or_etf,,ok
KO,Coca-Cola,consumer,5,,,20,,60,100,81.32,55.56,-31.67,1.46,2.04,2.50,38.97,11.05,50,1.09,2.46,14812000000,,,47941000000,4314000000,USD,equity_or_etf,,ok
CAT,Caterpillar,industrial,4,OVERVALUED,40.00,20,20,60,100,914.53,580.41,-36.53,1.58,5.90,0.65,47.61,13.19,50,1.94,2.70,13413000000,37100000000,0.55,67589000000,465800000,USD,equity_or_etf,,ok
NSRGY,Nestle,consumer,,,,,,,,,,,,,,,,,,,,,,,,,,US ADR / OTC symbol; may not be tradeable on every broker,No SEC CIK mapping found
VOO,Vanguard S&P 500 ETF,,,,,,,,,677.69,,,,,,,,,,,,,,,,USD,fund_or_commodity,Tracks the S&P 500,"model not applicable to ETFs, funds, or commodity trusts"
VT,Vanguard Total World Stock ETF,,,,,,,,,154.32,,,,,,,,,,,,,,,,USD,fund_or_commodity,Broad global equity ETF,"model not applicable to ETFs, funds, or commodity trusts"
VYMI,Vanguard International High Dividend Yield ETF,,,,,,,,,98.73,,,,,,,,,,,,,,,,USD,fund_or_commodity,International high-dividend ETF,"model not applicable to ETFs, funds, or commodity trusts"
URA,Global X Uranium ETF,,,,,,,,,44.14,,,,,,,,,,,,,,,,USD,fund_or_commodity,Uranium and nuclear components ETF,"model not applicable to ETFs, funds, or commodity trusts"
GLD,SPDR Gold Shares,,,,,,,,,390.82,,,,,,,,,,,,,,,,USD,fund_or_commodity,Gold ETF,"model not applicable to ETFs, funds, or commodity trusts"
SLV,iShares Silver Trust,,,,,,,,,59.01,,,,,,,,,,,,,,,,USD,fund_or_commodity,Silver ETF,"model not applicable to ETFs, funds, or commodity trusts"
